ppa_work_id,ppa_source_id,ppa_cluster_id,ppa_work_title,ppa_work_author,ppa_work_year,ppa_source,ppa_collections
uc1.31158007904948,uc1.31158007904948,uc1.31158007904948,Sound notation,"Sweet, Henry, 1845-1912",1881,HathiTrust,"['Linguistic', 'Typographically Unique']"
uc1.31158008268566,uc1.31158008268566,uc1.31158008268566,"Two lectures introductory to the study of poetry,","Beeching, H. C. (Henry Charles), 1859-1919",1902,HathiTrust,['Literary']
uc1.31158008787334,uc1.31158008787334,uc1.31158008787334,A study in the psychology of spelling.,"Fernald, Grace M. (Grace Maxwell), 1879-1950",1915,HathiTrust,"['Linguistic', 'Word Lists']"
uc1.31158010000023-p121,uc1.31158010000023,skeatessay,An Essay on the Language and Versification of Chaucer,"Skeat, Walter W.",1872,HathiTrust,"['Literary', 'Original Bibliography']"
uc1.31158011308110,uc1.31158011308110,brookenaturalism,Naturalism in English poetry,"Brooke, Stopford Augustus, 1832-1916",1920,HathiTrust,['Literary']
uc1.31158011854709,uc1.31158011854709,uc1.31158011854709,History of the Scottish metrical Psalms;,"MacMeeken, J. W. (John West), 1823 or 1824-1880",1872,HathiTrust,"['Literary', 'Original Bibliography']"
uc1.31175032304092,uc1.31175032304092,uc1.31175032304092,Histriophone :,"Dobrée, Bonamy, 1891-1974",1925,HathiTrust,"['Literary', 'Original Bibliography']"
uc1.31175035197097-p260,uc1.31175035197097,uc1.31175035197097-p260,On the Metre of Pierce Plowman's Visions,"Percy, Thomas, Bishop of Dromore.",1765,HathiTrust,"['Literary', 'Original Bibliography']"
uc1.31175035204380,uc1.31175035204380,byssheartpoems,The art of English poetry :,"Bysshe, Edward, active 1702-1712",1702,HathiTrust,"['Literary', 'Original Bibliography']"
uc1.31210003507009,uc1.31210003507009,uc1.31210003507009,Studies in Spanish dramatic versification of the siglo de oro.,"Morley, Sylvanus Griswold, 1883-1948",1918,HathiTrust,['Literary']
uc1.31210021525173-p229,uc1.31210021525173,uc1.31210021525173-p229,On the Pronunciation of Old Spanish ç and Final z,"Cheskis, Joseph J.",1916,HathiTrust,['Linguistic']
uc1.31210021525173-p271,uc1.31210021525173,uc1.31210021525173-p271,On the Origin of Stanza-Linking in English Alliterative Verse,"Brown, Arthur C. L.",1916,HathiTrust,['Literary']
uc1.31210021525173-p42,uc1.31210021525173,uc1.31210021525173-p42,Are the Spanish Romances Written in Quatrains?--And other Questions,"Morley, S. Griswold",1916,HathiTrust,['Literary']
uc1.31822009495094,uc1.31822009495094,uc1.31822009495094,"The praxis, or, A course of English and Latin exercises :","Bright, Henry, b. 1723 or 4",1783,HathiTrust,"['Linguistic', 'Literary']"
uc1.31822010604536,uc1.31822010604536,uc1.31822010604536,The art of singing and vocal declamation,"Santley, Charles, Sir, 1834-1922",1908,HathiTrust,['Literary']
uc1.31822012915930,uc1.31822012915930,uc1.31822012915930,"Interpretation in song,","Greene, Harry Plunket, 1865-1936",1912,HathiTrust,['Literary']
uc1.31822013405121,uc1.31822013405121,uc1.31822013405121,Music and poetry;,"Lanier, Sidney, 1842-1881",1898,HathiTrust,"['Literary', 'Original Bibliography', 'Typographically Unique']"
uc1.31822027357144,uc1.31822027357144,gardinermusic,"The music of nature; or, An attempt to prove that what is passionate and pleasing in the art of singing, speaking, and performing upon musical instruments,","Gardiner, William, 1770-1853",1856,HathiTrust,"['Linguistic', 'Literary', 'Typographically Unique']"
uc1.31822038197968,uc1.31822038197968,mackintoshplain,"A plain, rational essay on English grammar :","Mack'intosh, Dunc'an",1797,HathiTrust,['Linguistic']
uc1.31822038198008,uc1.31822038198008,uc1.31822038198008,"Sketch of etymology, syntax, puntuation and prosody :",American gentleman,1820,HathiTrust,['Linguistic']
uc1.31822038198073,uc1.31822038198073,masonessays,"Essays on poetical and prosaic numbers, and elocution.","Mason, John, 1706-1763",1761,HathiTrust,['Literary']
uc1.31822038199022,uc1.31822038199022,uc1.31822038199022,"The tour of Doctor Syntax through London, or, The pleasures and miseries of the metropolis :",,1820,HathiTrust,['Literary']
uc1.31822038199147,uc1.31822038199147,wattshorae,Horae lyricae :,"Watts, Isaac, 1674-1748",1715,HathiTrust,['Literary']
uc1.31822038199550,uc1.31822038199550,uc1.31822038199550,Hobbes's translation of Aristotle's Art of rhetorick,Aristotle,1759,HathiTrust,['Literary']
uc1.31822038199642,uc1.31822038199642,uc1.31822038199642,A carol and other rhymes,"Johnston, Edward, 1872-1944",1916,HathiTrust,['Literary']
uc1.31822038199782,uc1.31822038199782,uc1.31822038199782,The rhythmical reader :,"Comstock, Andrew, 1795-1864",1832,HathiTrust,"['Linguistic', 'Literary', 'Typographically Unique']"
uc1.32106001522116,uc1.32106001522116,uc1.32106001522116,"Greek and Latin glyconics,","Richardson, Leon Josiah, 1868-1964",1915,HathiTrust,['Literary']
uc1.32106001526083,uc1.32106001526083,uc1.32106001526083,Latin prose composition.,"Hardie, William Ross, 1862-1916",1908,HathiTrust,['Linguistic']
uc1.32106001526216,uc1.32106001526216,uc1.32106001526216,"Latin hexameter verse,","Winbolt, Samuel Edward, 1868-1944",1903,HathiTrust,['Literary']
uc1.32106001559217,uc1.32106001559217,uc1.32106001559217,"An introduction to Old French phonology and morphology,","Luquiens, Frederick Bliss, 1875-1940",1909,HathiTrust,['Linguistic']
uc1.32106001559381-p79,uc1.32106001559381,uc1.32106001559381-p79,Anglo-Norman Versification,"Vising, Johan",1923,HathiTrust,"['Literary', 'Original Bibliography']"
uc1.32106001576252,uc1.32106001576252,greenoughwords,"Words and their ways in English speech,","Greenough, J. B. (James Bradstreet), 1833-1901",1915,HathiTrust,['Linguistic']
uc1.32106001582466,uc1.32106001582466,uc1.32106001582466,A history of German versification;,"Atkins, Henry Gibson, 1871-1942",1923,HathiTrust,"['Literary', 'Original Bibliography']"
uc1.32106001640405-p44,uc1.32106001640405,uc1.32106001640405-p44,Surrey's Contribution to English Poetry,"Padelford, Frederick M.",1928,HathiTrust,"['Literary', 'Original Bibliography']"
uc1.32106001646485,uc1.32106001646485,gayleyintroduction,"An introduction to the methods and materials of literary criticism,","Gayley, Charles Mills, 1858-1932",1901,HathiTrust,"['Literary', 'Original Bibliography']"
uc1.32106001646766-p134,uc1.32106001646766,uc1.32106001646766-p134,Rhythm and Metre,"Richards, I. A. (Ivor Armstrong), 1893-1979",1924,HathiTrust,"['Literary', 'Original Bibliography']"
uc1.32106001654851,uc1.32106001654851,uc1.32106001654851,Epic and romance:,"Ker, W. P. (William Paton), 1855-1923",1922,HathiTrust,['Literary']
uc1.32106001661237,uc1.32106001661237,uc1.32106001661237,Sidney's Apologie for poetrie;,"Sidney, Philip, Sir, 1554-1586",1907,HathiTrust,['Literary']
uc1.32106001661542,uc1.32106001661542,clarkrhetoric,Rhetoric and poetry in the Renaissance;,"Clark, Donald Lemen, 1888-1966",1922,HathiTrust,['Literary']
uc1.32106001661948,uc1.32106001661948,gummerehandbook,"A handbook of poetics, for students of English verse.","Gummere, Francis Barton, 1855-1919",1885,HathiTrust,"['Literary', 'Original Bibliography']"
uc1.32106001863296,uc1.32106001863296,prattuse,The use of color in the verse of the English romantic poets.,"Pratt, Alice Edwards",1898,HathiTrust,['Literary']
uc1.32106001875688,uc1.32106001875688,gayleypoetry,"Poetry of the people,","Gayley, Charles Mills, 1858-1932",1920,HathiTrust,['Literary']
uc1.32106001899191,uc1.32106001899191,uc1.32106001899191,Shakspere and his predecessors,"Boas, Frederick S. (Frederick Samuel), 1862-1957",1896,HathiTrust,['Literary']
uc1.32106001920849,uc1.32106001920849,arnoldessays,Essays in criticism.,"Arnold, Matthew, 1822-1888",1912,HathiTrust,['Literary']
uc1.32106001929204,uc1.32106001929204,carlylecritical,Critical and miscellaneous essays.,"Carlyle, Thomas, 1795-1881",1870,HathiTrust,['Literary']
uc1.32106002124664,uc1.32106002124664,uc1.32106002124664,"Dear sir (or dear madam) who happen to glance at this title-page printed you'll see to enhance its aesthetic attraction, pray buy, if you're able, this excellent bargain:","Lowell, Amy, 1874-1925",1922,HathiTrust,['Literary']
uc1.32106007686642,uc1.32106007686642,kameselements,Elements of criticism.,"Kames, Henry Home, Lord, 1696-1782",1830,HathiTrust,"['Linguistic', 'Literary']"
uc1.32106007869586,uc1.32106007869586,wardenglish1,The English poets;,"Ward, Thomas Humphry, 1845-1926",1882,HathiTrust,['Literary']
uc1.32106012471881,uc1.32106012471881,wardenglish3,The English poets;,"Ward, Thomas Humphry, 1845-1926",1882,HathiTrust,['Literary']
uc1.32106012646672,uc1.32106012646672,uc1.32106012646672,"The ballad in literature,","Henderson, T. F. (Thomas Finlayson), 1844-1923",1912,HathiTrust,['Literary']
uc1.32106014328139,uc1.32106014328139,ellison1,On early English pronunciation :,"Ellis, Alexander John, 1814-1890",1869,HathiTrust,"['Linguistic', 'Original Bibliography']"
uc1.32106015189290,uc1.32106015189290,lowelltendencies,Tendencies in modern poetry.,"Lowell, Amy, 1874-1925",1917,HathiTrust,['Literary']
uc1.32106015528877-p143,uc1.32106015528877,uc1.32106015528877-p143,Rhythm and Reason,"Untermeyer, Louis",1922,HathiTrust,"['Literary', 'Original Bibliography']"
uc1.32106019364121,uc1.32106019364121,wardenglish2,The English poets;,"Ward, Thomas Humphry, 1845-1926",1882,HathiTrust,['Literary']
uc1.32106020060528,uc1.32106020060528,ogilvieimperial1,The imperial dictionary of the English language:,"Ogilvie, John, 1797-1867",1885,HathiTrust,"['Dictionaries', 'Word Lists']"
uc1.32106020060536,uc1.32106020060536,ogilvieimperial2,The imperial dictionary of the English language:,"Ogilvie, John, 1797-1867",1885,HathiTrust,"['Dictionaries', 'Word Lists']"
uc1.32106020060544,uc1.32106020060544,ogilvieimperial3,The imperial dictionary of the English language:,"Ogilvie, John, 1797-1867",1885,HathiTrust,"['Dictionaries', 'Word Lists']"
uc1.32106020060551,uc1.32106020060551,ogilvieimperial4,The imperial dictionary of the English language:,"Ogilvie, John, 1797-1867",1885,HathiTrust,"['Dictionaries', 'Word Lists']"
uc1.32106020079791-p153,uc1.32106020079791,uc1.32106020079791-p153,Free Verse Again,"Swett, Margery",1924,HathiTrust,"['Literary', 'Original Bibliography']"
uc1.32106020079841-p112,uc1.32106020079841,uc1.32106020079841-p112,Visual Poetry,"Conrad, Philip",1928,HathiTrust,"['Literary', 'Original Bibliography']"
uc1.a0003550258-p3,uc1.a0003550258,uc1.a0003550258-p3,Notes on English Hexameters,"Potwin, Lemuel S.",1904,HathiTrust,['Literary']
uc1.aa0005313630,uc1.aa0005313630,uc1.aa0005313630,The rudiments of Latin prosody:,"Otis, James, 1725-1783",1760,HathiTrust,['Literary']
uc1.aa0013985734,uc1.aa0013985734,uc1.aa0013985734,A myrrovre for magistrates.,,1559,HathiTrust,"['Literary', 'Original Bibliography']"
uc1.aa0016112674,uc1.aa0016112674,uc1.aa0016112674,"The Iliad of Homer,",Homer,1844,HathiTrust,"['Literary', 'Original Bibliography']"
uc1.ax0002627784-p1,uc1.ax0002627784,uc1.ax0002627784-p1,The Advancement and Reformation of Modern Poetry,"Dennis, John, 1657-1734",1727,HathiTrust,['Literary']
uc1.ax0003129954-p7,uc1.ax0003129954,uc1.ax0003129954-p7,The Sonnet,"Lynch, Arthur, 1861-1934",1914,HathiTrust,['Literary']
uc1.b000701439,uc1.b000701439,uc1.b000701439,"The English sonnet,","Crosland, T. W. H. (Thomas William Hodgson), 1865-1924",1917,HathiTrust,['Literary']
uc1.b000949531,uc1.b000949531,uc1.b000949531,"An introduction to Greek reading,","Robertson, George, 1883-",1915,HathiTrust,['Linguistic']
uc1.b2601806,uc1.b2601806,uc1.b2601806,Picaresque dramas of the 17th and 18th centuries ...,"Pabisch, Marie",1909,HathiTrust,['Literary']
uc1.b2628063,uc1.b2628063,uc1.b2628063,The historical point of view in Elizabethan criticism,"Miller, George Morey, 1868-",1912,HathiTrust,['Literary']
uc1.b2791658,uc1.b2791658,uc1.b2791658,"Etymologies, chiefly Anglo-French","Weekley, Ernest, 1865-1954",1910,HathiTrust,"['Linguistic', 'Word Lists']"
uc1.b2792371,uc1.b2792371,uc1.b2792371,The stylography of the English language,"Shaha, Brojonath",1897,HathiTrust,"['Linguistic', 'Word Lists']"
uc1.b2792462,uc1.b2792462,uc1.b2792462,Report on the present state of our knowledge of linguistic ethnology :,"Haldeman, Samuel Stehman, 1812-1880",1856,HathiTrust,['Linguistic']
uc1.b2900825-p135,uc1.b2900825,uc1.b2900825-p135,Kinetic and Potential Speech,"Ransome, Arthur",1911,HathiTrust,"['Literary', 'Original Bibliography']"
uc1.b2905408-p244,uc1.b2905408,uc1.b2905408-p244,Coventry Patmore's Literary Criticism,"Baum, P. F. ",1923,HathiTrust,"['Literary', 'Original Bibliography']"
uc1.b2905409-p299,uc1.b2905409,uc1.b2905409-p299,Meter in Anglo-American Free Verse,"Hills, E. C.",1924,HathiTrust,"['Literary', 'Original Bibliography']"
uc1.b2929259-p88,uc1.b2929259,uc1.b2929259-p88,Free Verse: A Parallel and a Warning,"McNaughten, Hugh",1927,HathiTrust,"['Literary', 'Original Bibliography']"
uc1.b2939967,uc1.b2939967,uc1.b2939967,"The sonnet; its origin, structure, and place in poetry.","Tomlinson, Charles, 1808-1897",1874,HathiTrust,['Literary']
uc1.b2960380,uc1.b2960380,QJPS4,The Quarterly journal of speech education :,,1918,HathiTrust,['Linguistic']
