ppa_work_id,ppa_source_id,ppa_cluster_id,ppa_work_title,ppa_work_author,ppa_work_year,ppa_source,ppa_collections
CW0121887625,CW0121887625,CW0121887625,A course of lectures on oratory and criticism.,"Priestley, Joseph, 1733-1804",1777,Gale,['Literary']
CW0122332337,CW0122332337,bedfordtemple,The temple musick,"Bedford, Arthur, 1668-1745",1712,Gale,"['Literary', 'Typographically Unique']"
CW0122462104,CW0122462104,Isaiahtrans,Isaiah. A new translation,,1778,Gale,['Literary']
CW0122610836,CW0122610836,harrishermes,Hermes or a philosophical inqviry concerning vniversal grammar,"Harris, James, 1709-1780",1765,Gale,['Linguistic']
CW0122642651,CW0122642651,harrisoninstitutes,Institutes of English grammar,"Harrison, Mr. (Ralph), 1748-1810",1784,Gale,['Linguistic']
CW0122964348,CW0122964348,bentleydissertation,A dissertation upon the epistles of Phalaris.,"Bentley, Richard, 1662-1742",1713,Gale,['Literary']
CW0123575690,CW0123575690,CW0123575690,"The pronouncing and foreigners' Bible,",,1782,Gale,['Typographically Unique']
CW0124563996,CW0124563996,CW0124563996,Miscellanies,"Armstrong, John, 1709-1779",1770,Gale,"['Linguistic', 'Literary']"
CW0124607881-p230,CW0124607881,harlequinhorace,"HARLEQUIN-HORACE; OR THE ART OF MODERN POETRY. Tempora mutantur, & nos mutamur in illis.",,1773,Gale,['Literary']
CW0124621209-p205,CW0124621209,CW0124621209-p205,OBSERVATIONS ON POETRY AND THE MOST CELEBRATED ANCIENT POETS.,,1796,Gale,['Literary']
CW0124621209-p314,CW0124621209,CW0124621209-p314,GREENLAND POETRY.,,1796,Gale,['Literary']
CW0124668664-p30,CW0124668664,CW0124668664-p30,THE PLAN OF A DICTIONARY OF THE ENGLISH LANGUAGE.,,1773,Gale,"['Dictionaries', 'Linguistic']"
CW0124668664-p55,CW0124668664,CW0124668664-p55,PREFACE TO The FOLIO EDITION of DR. JOHNSON's DICTIONARY.,,1773,Gale,"['Dictionaries', 'Linguistic']"
CW0124670975,CW0124670975,ruffheadlifeSV,"The life of Alexander Pope, Esq.","Ruffhead, Owen, 1723-1769",1769,Gale,['Literary']
CW0124731808-p13,CW0124731808,shenstoneelegy,A PREFATORY ESSAY ON ELEGY.,"Shenstone, William",1776,Gale,['Literary']
CW0124737709,CW0124737709,CW0124737709,"Essays on the nature and immutability of truth,","Beattie, James, 1735-1803",1778,Gale,['Literary']
CW0124740086,CW0124740086,speakermisc,The speaker,,1774,Gale,['Linguistic']
CW0124748989,CW0124748989,CW0124748989,Essays moral and literary,"Knox, Vicesimus, 1752-1821",1800,Gale,['Literary']
CW0124749360,CW0124749360,CW0124749360,Essays moral and literary,"Knox, Vicesimus, 1752-1821",1800,Gale,['Literary']
CW0124770154-p316,CW0124770154,templepoetry,OF POETRY.,"Temple, William, Sir",1754,Gale,['Literary']
CW0124778150-p216,CW0124778150,templepoetry,Of POETRY.,"Temple, William, Sir",1761,Gale,['Literary']
CW0124787241,CW0124787241,CW0124787241,"The poetical library; being a collection of the best modern English poems, chiefly didactic and descriptive. ...",,1786,Gale,['Literary']
CW0124836440,CW0124836440,CW0124836440,The new complete dictionary of arts and sciences,,1778,Gale,"['Dictionaries', 'Linguistic']"
CW0124836956,CW0124836956,CW0124836956,The new complete dictionary of arts and sciences,,1778,Gale,"['Dictionaries', 'Linguistic']"
CW0124929045-p101,CW0124929045,CW0124929045-p101,"No. IX. OF THE MICROCOSM. MONDAY, January 29, 1787.","Griffin, Gregory",1788,Gale,['Literary']
CW0124929045-p115,CW0124929045,CW0124929045-p115,"No. X OF THE MICROCOSM. MONDAY, February 5, 1787.","Griffin, Gregory",1788,Gale,['Literary']
CW0124929045-p129,CW0124929045,CW0124929045-p129,"No. XI. OF THE MICROCOSM. MONDAY, February 12, 1787. ","Griffin, Gregory",1788,Gale,['Literary']
CW0124929045-p183,CW0124929045,CW0124929045-p183,"No. XVI. OF THE MICROCOSM. MONDAY, March 5, 1787.","Griffin, Gregory",1788,Gale,['Literary']
CW0124929045-p251,CW0124929045,CW0124929045-p251,"No. XXII. OF THE MICROCOSM. MONDAY, April 9, 1787. ","Griffin, Gregory",1788,Gale,['Literary']
CW0124929045-p320,CW0124929045,CW0124929045-p320,"No. XXVIII. OF THE MICROCOSM. MONDAY, May 28, 1787.","Griffin, Gregory",1788,Gale,['Literary']
CW0124929045-p388,CW0124929045,CW0124929045-p388,"No. XXXV. OF THE MICROCOSM. MONDAY, July 9, 1787.","Griffin, Gregory",1788,Gale,['Literary']
CW0124986627,CW0124986627,CW0124986627,"The dunciad,","Pope, Alexander, 1688-1744",1729,Gale,['Literary']
CW0125004276-p15,CW0125004276,shenstoneelegy,A PREFATORY ESSAY ON ELEGY.,"Shenstone, William",1773,Gale,['Literary']
CW0125231051,CW0125231051,fenninguniversal,The universal spelling-book,"Fenning, Daniel",1776,Gale,"['Linguistic', 'Word Lists']"
CW0125281256,CW0125281256,binghamcolumbian,The Columbian orator,"Bingham, Caleb, 1757-1817",1797,Gale,['Literary']
CW0125370621-p337,CW0125370621,annualregisteressay,An Essay on the Quantity or Measure of English Verse. The Examples from Milton.,,1759,Gale,['Literary']
CW0125441129-pxii,CW0125441129,CW0125441129-pxii,PREFACE.,"Jacob, Giles",1720,Gale,"['Dictionaries', 'Literary']"
CW0125450132,CW0125450132,whytemiscellanea,Miscellanea nova,"Whyte, S. (Samuel), 1733-1811",1800,Gale,['Linguistic']
CW0125453961-p15,CW0125453961,shenstoneelegy,A PREFATORY ESSAY ON ELEGY.,"Shenstone, William",1791,Gale,['Literary']
CW0125630164,CW0125630164,CW0125630164,Lexicon technicum,"Harris, John, 1667?-1719",1736,Gale,"['Dictionaries', 'Linguistic']"
CW0125630970,CW0125630970,CW0125630970,Lexicon technicum,"Harris, John, 1667?-1719",1736,Gale,"['Dictionaries', 'Linguistic']"
CW0125693264,CW0125693264,CW0125693264,The Columbian library,,1797,Gale,['Literary']
CW0125876665-p337,CW0125876665,annualregisteressay,An Essay on the Quantity or Measure of English Verse. The Examples from Milton.,,1761,Gale,['Literary']
CW0125896591,CW0125896591,CW0125896591,Cyclopædia,"Chambers, Ephraim, ca. 1680-1740",1778,Gale,['Dictionaries']
CW0125924161-p337,CW0125924161,annualregisteressay,An Essay on the Quantity or Measure of English Verse. The Examples from Milton.,,1768,Gale,['Literary']
CW0125953288-p15,CW0125953288,shenstoneelegy,A PREFATORY ESSAY ON ELEGY.,"Shenstone, William",1777,Gale,['Literary']
aeu.ark:/13960/t0ft9gj3x,aeu.ark:/13960/t0ft9gj3x,aeu.ark:/13960/t0ft9gj3x,Treatise on French pronunciation and genders,"Lafont, J. B. Angelvy",1864,HathiTrust,['Linguistic']
aeu.ark:/13960/t1hh7pc2q,aeu.ark:/13960/t1hh7pc2q,aeu.ark:/13960/t1hh7pc2q,"An essay on the elements, accents, & prosody, of the English language","Odell, Jonathan, 1737-1818",1805,HathiTrust,"['Literary', 'Typographically Unique']"
aeu.ark:/13960/t1pg22p71-p126,aeu.ark:/13960/t1pg22p71,aeu.ark:/13960/t1pg22p71-p126,On the Galliambic Metre,"Allen, [Charles] Grant [Blairfindie].",1892,HathiTrust,"['Literary', 'Original Bibliography', 'Typographically Unique']"
aeu.ark:/13960/t3514pf3k,aeu.ark:/13960/t3514pf3k,aeu.ark:/13960/t3514pf3k,An elementary Greek grammar,"Goodwin, William W. (William Watson), 1831-1912",1879,HathiTrust,['Linguistic']
aeu.ark:/13960/t3jw96h3m,aeu.ark:/13960/t3jw96h3m,aeu.ark:/13960/t3jw96h3m,"Metra horatiana, or, The metrical systems of Horace","Lundy, F. J.",1838,HathiTrust,['Literary']
aeu.ark:/13960/t5s75qs8g,aeu.ark:/13960/t5s75qs8g,aeu.ark:/13960/t5s75qs8g,Pentasyllabic endings in the Latin hexameter with particular reference to the verse of Lucretius,"Alexander, William Hardy, 1878-1962",1900,HathiTrust,['Literary']
aeu.ark:/13960/t7qn72r42,aeu.ark:/13960/t7qn72r42,aeu.ark:/13960/t7qn72r42,Brief rules of the Latin prosody,"Cochran, William, 1757-1833",1899,HathiTrust,['Literary']
aeu.ark:/13960/t8v98vx29,aeu.ark:/13960/t8v98vx29,aeu.ark:/13960/t8v98vx29,Introduction to the science of language,"Sayce, A. H. (Archibald Henry), 1845-1933",1900,HathiTrust,['Linguistic']
bc.ark:/13960/t2p63fq11,bc.ark:/13960/t2p63fq11,bc.ark:/13960/t2p63fq11,"An introduction to Latin elegiac verse composition,","Lupton, J. H. (Joseph Hirst), 1836-1905",1913,HathiTrust,['Literary']
chi.084960397,chi.084960397,chi.084960397,"A study of the principal Latin rhythms, other than the hexameter ...","Clough, Joseph W.",1879,HathiTrust,['Literary']
chi.084960834,chi.084960834,chi.084960834,"The sacred tripudium,","FitzHugh, Thomas, 1862-1957",1909,HathiTrust,['Literary']
chi.085136836,chi.085136836,mitfordessay,An essay upon the harmony of language intended principally to illustrate that of the English Language ...,"Mitford, William, 1744-1827",1774,HathiTrust,"['Literary', 'Original Bibliography', 'Typographically Unique']"
chi.085137191,chi.085137191,chi.085137191,"On the structure of English verse,","Witcomb, C. (Charles)",1884,HathiTrust,"['Literary', 'Original Bibliography', 'Typographically Unique']"
chi.086527682,chi.086527682,chi.086527682,"Elements of phreno-mnemotechny, or, Art of acquiring memory","Miles, Pliny, 1818-1865",1845,HathiTrust,"['Linguistic', 'Typographically Unique']"
chi.086569286,chi.086569286,chi.086569286,The principles of speech and vocal physiology :,"Bell, Alexander Melville, 1819-1905",1863,HathiTrust,"['Linguistic', 'Typographically Unique']"
chi.087491541,chi.087491541,chi.087491541,A handbook of poetry,"Carpenter, J. E. (Joseph Edwards), 1813-1885",1868,HathiTrust,"['Literary', 'Typographically Unique']"
chi.087534111,chi.087534111,chi.087534111,Robertson's manual of elocution and philosophy of expression.,"Robertson, Peter",1880,HathiTrust,['Linguistic']
chi.10094836,chi.10094836,chi.10094836,Latin hymnody :,"Hughes, Anselm, 1889-1974-",1922,HathiTrust,['Literary']
chi.11964991,chi.11964991,chi.11964991,The Poetry journal.,,1912,HathiTrust,['Uncategorized']
chi.11964991-p14,chi.11964991,chi.11964991-p14,A Problem in Prosody,"Leonard, Mary Hall",1917,HathiTrust,['Literary']
chi.12153205-p526,chi.12153205,chi.12153205-p526,Hexameters and Rhythmic Prose,"Palmer, George Herbert.",1890,HathiTrust,"['Literary', 'Original Bibliography']"
chi.12755443-p51,chi.12755443,chi.12755443-p51,The Rhythms of Free Verse,"Lowell, Amy.",1918,HathiTrust,"['Literary', 'Original Bibliography']"
chi.13880510,chi.13880510,chi.13880510,Now in wintry delights,"Bridges, Robert Seymour, 1844-1930",1903,HathiTrust,"['Literary', 'Original Bibliography']"
chi.15722904,chi.15722904,chi.15722904,"Shepherds calendar, containing twelve eclogues proportionable to the twelve months.","Spenser, Edmund, 1552?-1599",1914,HathiTrust,"['Literary', 'Original Bibliography']"
chi.15797414,chi.15797414,chi.15797414,Latin verse.,"Smalley, Frank, 1846-1931,",1893,HathiTrust,['Literary']
chi.15827584,chi.15827584,chi.15827584,"An introduction to Latin lyric verse composition,","Lupton, J. H. (Joseph Hirst), 1836-1905",1927,HathiTrust,['Literary']
chi.16413693,chi.16413693,chi.16413693,"The works of Henry Howard, Earl of Surrey, and of Sir Thomas Wyatt, the Elder","Surrey, Henry Howard, Earl of, 1517?-1547",1815,HathiTrust,"['Literary', 'Original Bibliography', 'Typographically Unique']"
chi.18739423,chi.18739423,chi.18739423,"A brief inquery into the province and laws of poetry,","Burnham, Josephine May",1909,HathiTrust,['Literary']
chi.19606141-p317,chi.19606141,chi.19606141-p317,The Lost Art of Blank Verse,"Moore, Charles L.",1902,HathiTrust,"['Literary', 'Original Bibliography']"
chi.24072717,chi.24072717,chi.24072717,Transactions and proceedings of the American Philological Association,American Philological Association,1897,HathiTrust,['Uncategorized']
chi.24072717-p107,chi.24072717,chi.24072717-p107,On Certain Influences of Accent in Latin Iambic Trimeters,"Humphreys, M. W.",1876,HathiTrust,['Literary']
chi.24072717-p26,chi.24072717,chi.24072717-p26,"On an English Vowel-Mutation, present in Cag, Keg","Haldeman, S. S.",1874,HathiTrust,"['Linguistic', 'Word Lists']"
chi.35039846,chi.35039846,chi.35039846,Caruso's method of voice production;,"Marafioti, P. Mario (Pasqual Mario)",1923,HathiTrust,['Linguistic']
chi.55220547-p618,chi.55220547,chi.55220547-p618,Rhyme and Reason,"Matthews, J. Brander",1875,HathiTrust,"['Literary', 'Original Bibliography']"
chi.55229744-p417,chi.55229744,chi.55229744-p417,English Rimes,"Cook, A. S.",1888,HathiTrust,"['Literary', 'Original Bibliography', 'Typographically Unique']"
chi.64361057,chi.64361057,chi.64361057,"The works of Henry Howard, Earl of Surrey, and of Sir Thomas Wyatt, the Elder","Surrey, Henry Howard, Earl of, 1517?-1547",1815,HathiTrust,"['Literary', 'Original Bibliography']"
chi.66516627,chi.66516627,chi.66516627,The content of entrance monolog and entrance monody in Plautine comedy.,"Reding, Mary Gertrude",1917,HathiTrust,['Literary']
chi.76009251,chi.76009251,chi.76009251,The singing voice and its practical cultivation :,"Lawton, William H.",1901,HathiTrust,"['Literary', 'Typographically Unique']"
chi.78013677-p572,chi.78013677,chi.78013677-p572,Verse--free or confined?,"Warner, H. E.",1916,HathiTrust,"['Literary', 'Original Bibliography']"
chi.78013704-p417,chi.78013704,chi.78013704-p417,The Function of Rhythm,"Aiken, Conrad.",1918,HathiTrust,"['Literary', 'Original Bibliography']"
chi.78023993-p478,chi.78023993,chi.78023993-p478,The Expressive Power of English Sounds,"Tolman, Albert H",1895,HathiTrust,"['Literary', 'Original Bibliography', 'Typographically Unique']"
chi.78323841-p118,chi.78323841,chi.78323841-p118,English Verse: Specimens Illustrating Its Principles and History,[none],1903,HathiTrust,"['Literary', 'Original Bibliography']"
chi.78323978-p442,chi.78323978,chi.78323978-p442,English Rhythm,"Alden, Raymond Macdonald",1911,HathiTrust,"['Literary', 'Original Bibliography']"
chi.79213384-p67,chi.79213384,chi.79213384-p67,Rhyme nor Reason,[none],1866,HathiTrust,"['Literary', 'Original Bibliography']"
chi.79279237-p94,chi.79279237,chi.79279237-p94,Speaking to the Psaltery,"Yeats, W. B.",1902,HathiTrust,"['Literary', 'Original Bibliography', 'Typographically Unique']"
coo.31924006225712,coo.31924006225712,coo.31924006225712,"Oriental diction and theme in English verse, 1740-1840,","Whitcomb, Edna Pearle Osborne, 1892-",1916,HathiTrust,"['Linguistic', 'Literary']"
coo.31924007186517-p16,coo.31924007186517,coo.31924007186517-p16,A Note on Poetry in Prose,"Aldington, Richard.",1922,HathiTrust,"['Literary', 'Original Bibliography']"
coo.31924007925120,coo.31924007925120,coo.31924007925120,"The minor poems of John Lydgate,","Lydgate, John, 1370?-1451?",1911,HathiTrust,['Literary']
coo.31924008821047-p432,coo.31924008821047,coo.31924008821047-p432,On the Old Northern and Teutonic Metre,"Vigfusson, Gudbrand, and F. York Powell",1883,HathiTrust,"['Literary', 'Original Bibliography', 'Typographically Unique']"
coo.31924009605910,coo.31924009605910,lewisforeign,The foreign sources of modern English versification;,"Lewis, Charlton Miner, 1866-1923",1898,HathiTrust,"['Literary', 'Original Bibliography', 'Typographically Unique']"
coo.31924013164953,coo.31924013164953,abbottshakespearean,A Shakespearian grammar.,"Abbott, Edwin Abbott, 1838-1926",1870,HathiTrust,['Linguistic']
coo.31924013180942,coo.31924013180942,coo.31924013180942,Essays of John Dryden.,"Dryden, John, 1631-1700",1900,HathiTrust,"['Literary', 'Original Bibliography']"
coo.31924013263961,coo.31924013263961,coo.31924013263961,"The poets: Geoffrey Chaucer to Alfred Tennyson, 1340-1892 :","Stebbing, W. (William), 1832-1926",1907,HathiTrust,['Literary']
coo.31924013281799,coo.31924013281799,coo.31924013281799,Lydgate's minor poems.,"Lydgate, John, 1370?-1451?",1900,HathiTrust,"['Literary', 'Original Bibliography', 'Typographically Unique']"
coo.31924013348564,coo.31924013348564,welshdevelopmentBV,"Development of English literature and language,","Welsh, Alfred H. (Alfred Hix), 1850-1889",1882,HathiTrust,['Linguistic']
coo.31924013355650,coo.31924013355650,coo.31924013355650,"English critical essays (sixteenth, seventeenth, and eighteenth centuries) selected and ed. by Edmund D. Jones.","Jones, Edmund D. (Edmund David)",1922,HathiTrust,['Literary']
coo.31924013460435,coo.31924013460435,coo.31924013460435,Critical and miscellaneous essays.,"Carlyle, Thomas, 1795-1881",1881,HathiTrust,['Literary']
coo.31924014550440,coo.31924014550440,emersonevolution1,Evolution of expression.,"Emerson, Charles Wesley, 1837-1908",1902,HathiTrust,['Linguistic']
coo.31924016555835,coo.31924016555835,coo.31924016555835,A study of the metrical structure of the Middle English poem The pearl.,"Northup, Clark Sutherland, 1872-1952",1897,HathiTrust,['Literary']
coo.31924022154680,coo.31924022154680,coo.31924022154680,The English poets.,"Lowell, James Russell, 1819-1891",1891,HathiTrust,['Literary']
coo.31924026521355,coo.31924026521355,dumvilleelements,"Elements of French pronunciation and diction,","Dumville, Benjamin, 1872-",1920,HathiTrust,"['Linguistic', 'Typographically Unique']"
coo.31924026634570,coo.31924026634570,coo.31924026634570,"New zetetic method for English and French composition: a series of progressive exercises containing imitations of fables, legends, poems, &c. &c.;","Roux, Alphonse Antoine",1848,HathiTrust,"['Linguistic', 'Literary']"
coo.31924026933956,coo.31924026933956,magnusintroduction,Introduction to poetry;,"Magnus, Laurie, 1872-1933",1902,HathiTrust,['Literary']
coo.31924027105067,coo.31924027105067,orcuttwriters,The writer's desk book ...,"Orcutt, William Dana, 1870-1953",1913,HathiTrust,"['Linguistic', 'Literary']"
coo.31924027105745,coo.31924027105745,coo.31924027105745,On poetic interpretation of nature,"Shairp, John Campbell, 1819-1885",1884,HathiTrust,['Literary']
coo.31924031321189,coo.31924031321189,coo.31924031321189,Advanced elocution;,"Shoemaker, Rachel Walter (Hinkle), Mrs., 1838-1915",1896,HathiTrust,['Linguistic']
coo.31924051399685-p197,coo.31924051399685,coo.31924051399685-p197,The Alliteration in Chaucer's Canterbury Tales,"Lindner, Felix.",1876,HathiTrust,"['Literary', 'Original Bibliography']"
coo.31924052153313,coo.31924052153313,emersonevolution2,Evolution of expression.,"Emerson, Charles Wesley, 1837-1908",1902,HathiTrust,['Linguistic']
coo.31924057522082-p321,coo.31924057522082,coo.31924057522082-p321,English Hexameters and Elegaics,"Bayne, Thomas",1901,HathiTrust,"['Literary', 'Original Bibliography']"
coo.31924057525382-p409,coo.31924057525382,coo.31924057525382-p409,Blank Verse,[none],1898,HathiTrust,"['Literary', 'Original Bibliography']"
coo.31924057525606-p605,coo.31924057525606,coo.31924057525606-p605,Mr. Swinburne as a Master of Metre,[none],1909,HathiTrust,"['Literary', 'Original Bibliography']"
coo.31924057525671-p875,coo.31924057525671,coo.31924057525671-p875,Refrains,"R., J. F.",1913,HathiTrust,"['Literary', 'Original Bibliography']"
coo.31924057525861-p635,coo.31924057525861,coo.31924057525861-p635,Dactylic' Verse in English,"Omond, Thomas Stewart",1922,HathiTrust,"['Literary', 'Original Bibliography']"
coo.31924057531109-p472,coo.31924057531109,coo.31924057531109-p472,Literature and the Living Voice,"Yeats, W. B.",1906,HathiTrust,"['Literary', 'Original Bibliography']"
coo.31924062174838-p2,coo.31924062174838,coo.31924062174838-p2,The Scansion of Vergil and the Schools,C. Knapp,1909,HathiTrust,"['Literary', 'Typographically Unique']"
coo.31924062186204-p375,coo.31924062186204,coo.31924062186204-p375,Musical Accent and Double Alliteration in the Edda,"Lotspeich, C. M",1909,HathiTrust,"['Literary', 'Original Bibliography']"
coo.31924062189661-p1,coo.31924062189661,coo.31924062189661-p1,Vers Libre in Theory and Practice,"Van Doorn, Willem.",1921,HathiTrust,"['Literary', 'Original Bibliography']"
coo.31924064968609,coo.31924064968609,carlylecritical7v4,Critical and miscellaneous:,"Carlyle, Thomas, 1795-1881",1872,HathiTrust,['Literary']
coo.31924064968617,coo.31924064968617,coo.31924064968617,Critical and miscellaneous:,"Carlyle, Thomas, 1795-1881",1872,HathiTrust,['Literary']
coo.31924064968625,coo.31924064968625,coo.31924064968625,Critical and miscellaneous:,"Carlyle, Thomas, 1795-1881",1872,HathiTrust,['Literary']
coo.31924065040119,coo.31924065040119,coo.31924065040119,A manual of English literature :,"Craik, George L. (George Lillie), 1798-1866",1874,HathiTrust,['Literary']
coo.31924065041273,coo.31924065041273,coo.31924065041273,"The poets: Geoffrey Chaucer to Alfred Tennyson, 1340-1892 :","Stebbing, W. (William), 1832-1926",1907,HathiTrust,['Literary']
coo.31924065580551-p157,coo.31924065580551,coo.31924065580551-p157,The Borderline of Prose,"Eliot, T. S.",1917,HathiTrust,"['Literary', 'Original Bibliography']"
coo.31924065585840-p346,coo.31924065585840,coo.31924065585840-p346,Clause-Length in English Prose,"Chapman, John",1916,HathiTrust,"['Literary', 'Original Bibliography']"
coo.31924065856167-p397,coo.31924065856167,coo.31924065856167-p397,English Metre,"Mayor, Joseph B.",1876,HathiTrust,"['Literary', 'Original Bibliography']"
coo.31924065856167-p435,coo.31924065856167,coo.31924065856167-p435,Mr. Alexander J. Ellis's Remarks on Mr. Mayor's Two Papers on Rhythm,"Ellis, Alexander J.",1876,HathiTrust,"['Literary', 'Original Bibliography']"
coo.31924065856167-p449,coo.31924065856167,coo.31924065856167-p449,"Appendix [to Mr. Ellis's Remarks on ""English Metre""]","Mayor, Joseph B.",1876,HathiTrust,"['Literary', 'Original Bibliography']"
coo.31924065856167-p456,coo.31924065856167,coo.31924065856167-p456,"Additional Observations [on ""English Metre""]","Ellis, Alexander J.",1876,HathiTrust,"['Literary', 'Original Bibliography']"
coo.31924066146733-p190,coo.31924066146733,coo.31924066146733-p190,"Correspondence on ""The Vicissitudes of Blank Verse""",,1922,HathiTrust,"['Literary', 'Original Bibliography']"
coo.31924066146733-p45,coo.31924066146733,coo.31924066146733-p45,The Vicissitudes of Blank Verse,"Strachey, J. St. Loe.",1922,HathiTrust,"['Literary', 'Original Bibliography']"
coo.31924066177589-p445,coo.31924066177589,coo.31924066177589-p445,The Art and Accomplishment of Verse,"Collins, Mortimer.",1871,HathiTrust,"['Literary', 'Original Bibliography']"
coo.31924066328299-p329,coo.31924066328299,coo.31924066328299-p329,'Inverted Feet' in Verse,"Omond, Thomas Stewart",1908,HathiTrust,"['Literary', 'Original Bibliography', 'Typographically Unique']"
coo.31924066328299-p451,coo.31924066328299,coo.31924066328299-p451,"""Inverted Feet:"" A Reply to Mr. Omond","Rudmose-Brown, T. B.",1908,HathiTrust,"['Literary', 'Original Bibliography']"
coo.31924066518758-p811,coo.31924066518758,coo.31924066518758-p811,Some Thoughts on the Technique of Poetry,"Keary, C. F.",1906,HathiTrust,"['Literary', 'Original Bibliography']"
coo.31924069259624-p81,coo.31924069259624,coo.31924069259624-p81,Rhythmical Prose in Latin and English,"Shelly, John",1912,HathiTrust,"['Literary', 'Original Bibliography', 'Typographically Unique']"
coo.31924071178317,coo.31924071178317,marshlecturesedited,Lectures on the English language.,"Marsh, George P. (George Perkins), 1801-1882",1874,HathiTrust,['Linguistic']
coo.31924071178358,coo.31924071178358,dayelements,Elements of the art of rhetoric:,"Day, Henry Noble",1856,HathiTrust,"['Linguistic', 'Literary']"
coo.31924075116701-p445,coo.31924075116701,coo.31924075116701-p445,Observations on the Language of Chaucer,"Child, Francis J.",1862,HathiTrust,"['Literary', 'Original Bibliography']"
coo.31924106553286-p83,coo.31924106553286,coo.31924106553286-p83,Miltonic Elision,"Bridges, Robert.",1904,HathiTrust,"['Literary', 'Original Bibliography']"
coo.31924106553542,coo.31924106553542,coo.31924106553542,The Athenaeum.,,1828,HathiTrust,['Uncategorized']
coo.31924106553542-p1257,coo.31924106553542,coo.31924106553542-p1257,The Danger of Phonetics,"Saintsbury, George.",1919,HathiTrust,['Linguistic']
coo1.ark:/13960/t05x31b6k,coo1.ark:/13960/t05x31b6k,coo1.ark:/13960/t05x31b6k,Chapters on the poets of ancient Greece.,"Alford, Henry, 1810-1871",1841,HathiTrust,['Literary']
coo1.ark:/13960/t0xp7jz4t,coo1.ark:/13960/t0xp7jz4t,coo1.ark:/13960/t0xp7jz4t,Shelley & Calderon and other essays on English and Spanish poetry.,"Madariaga, Salvador de, 1886-1978",1921,HathiTrust,['Literary']
coo1.ark:/13960/t0zp4kv80,coo1.ark:/13960/t0zp4kv80,coo1.ark:/13960/t0zp4kv80,"Milton's prosody with a chapter on accentual verse & notes,","Bridges, Robert, 1844-1930",1921,HathiTrust,"['Literary', 'Original Bibliography', 'Typographically Unique']"
coo1.ark:/13960/t11n8nn3s,coo1.ark:/13960/t11n8nn3s,coo1.ark:/13960/t11n8nn3s,"Repetition and parallelism in Tennyson,","Lauvrière, Émile, 1866-",1910,HathiTrust,"['Literary', 'Original Bibliography']"
coo1.ark:/13960/t1jh43p3c,coo1.ark:/13960/t1jh43p3c,coo1.ark:/13960/t1jh43p3c,Notes on Elizabethan dramatists.,"Elze, Karl, 1821-1889",1889,HathiTrust,['Literary']
coo1.ark:/13960/t20c5h895,coo1.ark:/13960/t20c5h895,coo1.ark:/13960/t20c5h895,Lyric poetry.,"Rhys, Ernest, 1859-1946",1913,HathiTrust,['Literary']
coo1.ark:/13960/t2c82vs79,coo1.ark:/13960/t2c82vs79,coo1.ark:/13960/t2c82vs79,"The English dialect grammar, comprising the dialects of England, of the Shetland and Orkney Islands, and of those parts of Scotland, Ireland & Wales where English is habitually spoken,","Wright, Joseph, 1855-1930",1905,HathiTrust,['Linguistic']
coo1.ark:/13960/t2f76xm47,coo1.ark:/13960/t2f76xm47,coo1.ark:/13960/t2f76xm47,Metrical rhythm: being an examination of a recent attempt to determine the basis of English rhythm in verse and prose.,"Omond, T. S. (Thomas Stewart), 1846-1923",1905,HathiTrust,['Literary']
coo1.ark:/13960/t2m623920,coo1.ark:/13960/t2m623920,coo1.ark:/13960/t2m623920,"The elements of elocution, with special reference to the literary basis of delivery, including selections in poetry and prose for reading and recitation.","Clegg, Charles E.",1890,HathiTrust,"['Linguistic', 'Literary']"
coo1.ark:/13960/t2n593806,coo1.ark:/13960/t2n593806,coo1.ark:/13960/t2n593806,The influence of Christopher Marlowe on Shakespeare's earlier style.,"Verity, A. W. (Arthur Wilson), 1863-1937",1886,HathiTrust,"['Literary', 'Original Bibliography']"
coo1.ark:/13960/t2s477t5k,coo1.ark:/13960/t2s477t5k,coo1.ark:/13960/t2s477t5k,Beowulf and The fight at Finnsburg;,,1922,HathiTrust,"['Literary', 'Original Bibliography']"
coo1.ark:/13960/t3223gp4r,coo1.ark:/13960/t3223gp4r,coo1.ark:/13960/t3223gp4r,"On parody,","Martin, A. S. (Arthur Shadwell)",1896,HathiTrust,['Literary']
coo1.ark:/13960/t3hx1x587,coo1.ark:/13960/t3hx1x587,coo1.ark:/13960/t3hx1x587,The progress of poesy ;,"Mackail, J. W. (John William), 1859-1945",1906,HathiTrust,['Literary']
coo1.ark:/13960/t3st84m4q-p175,coo1.ark:/13960/t3st84m4q,coo1.ark:/13960/t3st84m4q-p175,The Style of Milton: Metre and Diction,"Raleigh, Walter, 1861-1922",1900,HathiTrust,['Literary']
coo1.ark:/13960/t3tt55s9z,coo1.ark:/13960/t3tt55s9z,coo1.ark:/13960/t3tt55s9z,"The cursus in mediaeval and vulgar Latin,","Clark, Albert Curtis, 1859-1937",1910,HathiTrust,"['Literary', 'Original Bibliography', 'Typographically Unique']"
coo1.ark:/13960/t3ws97k7x,coo1.ark:/13960/t3ws97k7x,coo1.ark:/13960/t3ws97k7x,"Outlines of Latin phonetics,","Niedermann, Max, 1874-1954",1910,HathiTrust,['Linguistic']
