filename,mtime,last_modified
32000006464129.zip,1671628702.183333,2022-12-21 08:18:22.183333
32000009469125.mets.xml,1683998629.976771,2023-05-13 13:23:49.976771
32000009469125.zip,1684235970.465752,2023-05-16 07:19:30.465752
32000001003567.mets.xml,1695682854.567721,2023-09-25 19:00:54.567721
32000001003567.zip,1695899906.56664,2023-09-28 07:18:26.566640
32000001887944.mets.xml,1671551683.117618,2022-12-20 10:54:43.117618
32000001887944.zip,1671794357.798927,2022-12-23 06:19:17.798927
32000001887936.zip,1671880775.610572,2022-12-24 06:19:35.610572
32000001887936.mets.xml,1671624862.094275,2022-12-21 07:14:22.094275
32000001358938.zip,1677325143.314335,2023-02-25 06:39:03.314335
32000001358938.mets.xml,1677266423.2509,2023-02-24 14:20:23.250900
32000004513109.mets.xml,1698824195.684971,2023-11-01 03:36:35.684971
32000004513109.zip,1699097654.047481,2023-11-04 07:34:14.047481
32000005659364.zip,1678189228.754483,2023-03-07 06:40:28.754483
32000005659364.mets.xml,1677933403.552675,2023-03-04 07:36:43.552675
30000011386830.mets.xml,1677602539.91178,2023-02-28 11:42:19.911780
30000011386830.zip,1677851007.272284,2023-03-03 08:43:27.272284
30000011328907.zip,1671448528.152198,2022-12-19 06:15:28.152198
30000011328907.mets.xml,1671201725.796992,2022-12-16 09:42:05.796992
30000041664172.zip,1668079599.199176,2022-11-10 06:26:39.199176
30000041664172.mets.xml,1667872704.195872,2022-11-07 20:58:24.195872
30000088965888.mets.xml,1691418503.167067,2023-08-07 10:28:23.167067
30000088965888.zip,1691666001.999726,2023-08-10 07:13:21.999726
30000027983745.zip,1662636993.079569,2022-09-08 07:36:33.079569
30000027983745.mets.xml,1662359687.645062,2022-09-05 02:34:47.645062
30000003130378.mets.xml,1680619871.523035,2023-04-04 10:51:11.523035
30000003130378.zip,1680867134.607366,2023-04-07 07:32:14.607366
30000063814093.mets.xml,1695793153.499853,2023-09-27 01:39:13.499853
30000063814093.zip,1696074574.763939,2023-09-30 07:49:34.763939
30000084048762.mets.xml,1682040352.992244,2023-04-20 21:25:52.992244
30000084048762.zip,1682248452.395487,2023-04-23 07:14:12.395487
30000066028642.mets.xml,1556825248.0,2019-05-02 15:27:28
30000066028642.zip,1556954303.0,2019-05-04 03:18:23
30000035051881.zip,1684235583.726516,2023-05-16 07:13:03.726516
30000035051881.mets.xml,1684000957.146169,2023-05-13 14:02:37.146169
30000099671491.zip,1671448694.279397,2022-12-19 06:18:14.279397
30000099671491.mets.xml,1671205536.744564,2022-12-16 10:45:36.744564
30000099671541.zip,1671448695.584334,2022-12-19 06:18:15.584334
30000099671541.mets.xml,1671205530.503543,2022-12-16 10:45:30.503543
30000099671525.mets.xml,1688438579.894593,2023-07-03 22:42:59.894593
30000099671525.zip,1688642148.995741,2023-07-06 07:15:48.995741
30000099671558.mets.xml,1688964227.629555,2023-07-10 00:43:47.629555
30000099671558.zip,1689246988.362834,2023-07-13 07:16:28.362834
30000099671566.mets.xml,1685440051.531133,2023-05-30 05:47:31.531133
30000099671566.zip,1685704894.59842,2023-06-02 07:21:34.598420
30000099671624.mets.xml,1685440036.54895,2023-05-30 05:47:16.548950
30000099671624.zip,1685704894.722493,2023-06-02 07:21:34.722493
30000099671665.zip,1671448695.746199,2022-12-19 06:18:15.746199
30000099671665.mets.xml,1671205582.899546,2022-12-16 10:46:22.899546
30000099671632.zip,1685704894.065136,2023-06-02 07:21:34.065136
30000099671632.mets.xml,1685440029.969197,2023-05-30 05:47:09.969197
30000099671723.mets.xml,1685440071.040618,2023-05-30 05:47:51.040618
30000099671723.zip,1685704894.306782,2023-06-02 07:21:34.306782
30000099671764.mets.xml,1675186241.015312,2023-01-31 12:30:41.015312
30000099671764.zip,1675423180.966802,2023-02-03 06:19:40.966802
30000099860326.mets.xml,1671205702.172471,2022-12-16 10:48:22.172471
30000099860326.zip,1671448713.379158,2022-12-19 06:18:33.379158
30000099860342.mets.xml,1671553911.490565,2022-12-20 11:31:51.490565
30000099860342.zip,1671794295.515341,2022-12-23 06:18:15.515341
30000099860565.zip,1671448709.864999,2022-12-19 06:18:29.864999
30000099860565.mets.xml,1671205710.217592,2022-12-16 10:48:30.217592
30000099860599.mets.xml,1678027314.743243,2023-03-05 09:41:54.743243
30000099860599.zip,1678274693.456454,2023-03-08 06:24:53.456454
30000099733408.zip,1678103376.073045,2023-03-06 06:49:36.073045
30000099733408.mets.xml,1677885952.454154,2023-03-03 18:25:52.454154
30000099733382.zip,1671448699.123928,2022-12-19 06:18:19.123928
30000099733382.mets.xml,1671205538.228175,2022-12-16 10:45:38.228175
30000099952610.zip,1685704896.795363,2023-06-02 07:21:36.795363
30000099952610.mets.xml,1685440013.502904,2023-05-30 05:46:53.502904
30000099952560.mets.xml,1662897382.461489,2022-09-11 07:56:22.461489
30000099952560.zip,1663153824.539822,2022-09-14 07:10:24.539822
30000099958872.mets.xml,1695508605.275213,2023-09-23 18:36:45.275213
30000099958872.zip,1695727037.258541,2023-09-26 07:17:17.258541
30000099956629.zip,1691149232.282585,2023-08-04 07:40:32.282585
30000099956629.mets.xml,1690944263.310616,2023-08-01 22:44:23.310616
30000099965620.zip,1663153822.55547,2022-09-14 07:10:22.555470
