ppa_work_id,ppa_source_id,ppa_cluster_id,ppa_work_title,ppa_work_author,ppa_work_year,ppa_source,ppa_collections,recordid,oclc,locnum,author,imprint,datetype,startdate,enddate,imprintdate,place,enumcron,subjects,title
inu.32000001887936,inu.32000001887936,buehlerlessons,"Lessons in language and literature,","Buehler, Huber Gray, 1864-1924",1906,HathiTrust,"['Linguistic', 'Literary']",6793130,17610440,,"Buehler, Huber Gray,",New York;Newson & company;c1906,s,1906,    ,1906,nyu,,English language;Composition and exercises,Lessons in language and literature
inu.32000001887944,inu.32000001887944,inu.32000001887944,"A shorter English grammar with composition,","Buehler, Huber Gray, 1864-1924",1906,HathiTrust,['Linguistic'],6793131,17638257,,"Buehler, Huber Gray,",New York;Newson and company;c1906,s,1906,    ,1906,nyu,,Grammar;English language,A shorter English grammar with composition
inu.32000004513109,inu.32000004513109,hammertongeorge,George Meredith in anecdote and criticism.,"Hammerton, John Alexander, Sir, 1871-1949",1909,HathiTrust,['Literary'],6059264,15997245,,"Hammerton, John Alexander,",New York;Mitchell Kennerley;1909.,s,1909,    ,1909,nyu,,"1828-1909;Meredith, George;IsBiographical",George Meredith in anecdote and criticism
inu.32000006449849,inu.32000006449849,inu.32000006449849,"Compositon and rhetoric,","Thomas, Charles Swain",1912,HathiTrust,['Linguistic'],6793191,20192262,,"Thomas, Charles Swain.","New York [etc.;Longmans, Green and co.;1912",s,1912,    ,1912,nyu,,Rhetoric;English language,Compositon and rhetoric
inu.32000006464129,inu.32000006464129,inu.32000006464129,Characters of Shakespeare's plays :,"Hazlitt, William, 1778-1830",1920,HathiTrust,['Literary'],6058403,5886887,,"Hazlitt, William,",London;Macmillan and Co.;1920.,s,1920,    ,1920,enk,,"Characters;English poetry;1564-1616;Shakespeare, William;History and criticism",Characters of Shakespeare's plays
inu.32000006890968,inu.32000006890968,osmondmystical,"The mystical poets of the English church,","Osmond, Percy H. (Percy Herbert), b. 1872",1919,HathiTrust,['Literary'],6054799,962782,PR508.M8O8,"Osmond, Percy Herbert,",London;Society for Promoting Christian Knowledge;New York;Macmillan;1919.,s,1919,    ,1919,xx ,,"English poetry;Christian poetry, English;History and criticism;Mysticism in literature",The mystical poets of the English church
inu.32000007482708,inu.32000007482708,inu.32000007482708,"Essay on criticism,","Pope, Alexander, 1688-1744",1908,HathiTrust,"['Literary', 'Original Bibliography']",7585411,4484621,,"Pope, Alexander,",Cambridge;University Press;1908,s,1908,    ,1908,enk,,Criticism;Early works to 1800;Poetry,Essay on criticism
inu.32000007903257,inu.32000007903257,gosseseventeenth,Seventeenth century studies,"Gosse, Edmund, 1849-1928",1913,HathiTrust,['Literary'],8566506,2465262,,"Gosse, Edmund,","London;Heinemann;1913, t.p. 1914.",s,1913,    ,1913,enk,,"Early modern, 1500-1700;English literature;History and criticism",Seventeenth century studies
inu.32000007957766,inu.32000007957766,inu.32000007957766,"Specimens of discourse,","Andrews, Arthur Lynn",1905,HathiTrust,['Literary'],6793187,5308417,PE1413.A5,"Andrews, Arthur Lynn.",New York;H. Holt;1905.,s,1905,    ,1905,nyu,,English language;Composition and exercises,Specimens of discourse
inu.32000007957980,inu.32000007957980,inu.32000007957980,Freshman English;,"Young, Frances Campbell Berkeley",1914,HathiTrust,['Linguistic'],6793192,2640388,PE1408.Y6,"Young, Frances Campbell Berkeley.",New York;H. Holt and company;1914.,s,1914,    ,1914,nyu,,Rhetoric;English language,Freshman English;
inu.39000000145347,inu.39000000145347,mastermanage,"The age of Milton,","Masterman, John Howard Bertram, 1867-1933",1901,HathiTrust,['Literary'],6054764,9317536,PR435.M3,"Masterman, John Howard Bertram,",London;G. Bell;1901.,s,1901,    ,1901,enk,,"Early modern, 1500-1700;1608-1674;English literature;History and criticism;Milton, John",The age of Milton
inu.39000001470173,inu.39000001470173,mastermanage,"The age of Milton,","Masterman, John Howard Bertram, 1867-1933",1911,HathiTrust,['Literary'],6054763,5696345,,"Masterman, John Howard Bertram,",London;G. Bell;1911.,s,1911,    ,1911,enk,,"Early modern, 1500-1700;English literature;History and criticism",The age of Milton
inu.39000002419484,inu.39000002419484,mastermanage,"The age of Milton,","Masterman, John Howard Bertram, 1867-1933",1915,HathiTrust,['Literary'],6054762,3296657,,"Masterman, John Howard Bertram,",London;G. Bell and Sons;1915.,s,1915,    ,1915,enk,,"Early modern, 1500-1700;1608-1674;English literature;History and criticism;Milton, John",The age of Milton
inu.39000003784506,inu.39000003784506,inu.39000003784506,The lays of ancient Rome & miscellaneous essays and poems.,"Macaulay, Thomas Babington Macaulay, Baron, 1800-1859",1910,HathiTrust,['Literary'],6059205,360949,,"Macaulay, Thomas Babington Macaulay,","London;Dent;New York;Dutton;1910, 1963 printing].",s,1910,    ,1910,enk,,History;Rome;Poetry,The lays of ancient Rome & miscellaneous essays and poems
inu.39000005762732,inu.39000005762732,inu.39000005762732,"Original tales and ballads in the Yorkshire dialect,","Malham-Dembleby, John",1912,HathiTrust,"['Linguistic', 'Literary']",6934429,5297541,PE2083.M3,"Malham-Dembleby, John.","London;Felling-on-Tyne;New York [etc.;The Walter Scott publishing co., ltd.;1912.",s,1912,    ,1912,enk,,England;English literature;Dialects;English language;Yorkshire,Original tales and ballads in the Yorkshire dialect
