htid,filename,size_changed,modification_time,rsync_flags
hvd.32044089057764,32044089057764.zip,True,True,>f.st......
hvd.32044089057772,32044089057772.mets.xml,True,True,>f.st......
hvd.32044089057772,32044089057772.zip,True,True,>f.st......
hvd.32044089137780,32044089137780.mets.xml,True,True,>f.st......
hvd.32044089137780,32044089137780.zip,True,True,>f.st......
hvd.32044090278334,32044090278334.mets.xml,True,True,>f.st......
hvd.32044090278334,32044090278334.zip,True,True,>f.st......
hvd.32044090278565,32044090278565.mets.xml,True,True,>f.st......
hvd.32044090278565,32044090278565.zip,True,True,>f.st......
hvd.32044090367053,32044090367053.mets.xml,True,True,>f.st......
hvd.32044090367053,32044090367053.zip,True,True,>f.st......
hvd.32044092624287,32044092624287.mets.xml,True,True,>f.st......
hvd.32044092624287,32044092624287.zip,True,True,>f.st......
hvd.32044092624352,32044092624352.mets.xml,True,True,>f.st......
hvd.32044092624352,32044092624352.zip,True,True,>f.st......
hvd.32044092634013,32044092634013.mets.xml,True,True,>f.st......
hvd.32044092634013,32044092634013.zip,True,True,>f.st......
hvd.32044092640663,32044092640663.mets.xml,True,True,>f.st......
hvd.32044092640663,32044092640663.zip,True,True,>f.st......
hvd.32044092645134,32044092645134.mets.xml,True,True,>f.st......
hvd.32044092645134,32044092645134.zip,True,True,>f.st......
hvd.32044092658095,32044092658095.mets.xml,True,True,>f.st......
hvd.32044092658095,32044092658095.zip,True,True,>f.st......
hvd.32044092711431,32044092711431.mets.xml,True,True,>f.st......
hvd.32044092711431,32044092711431.zip,True,True,>f.st......
hvd.32044092711480,32044092711480.mets.xml,True,True,>f.st......
hvd.32044092711480,32044092711480.zip,True,True,>f.st......
hvd.32044092738798,32044092738798.mets.xml,True,True,>f.st......
hvd.32044092738798,32044092738798.zip,True,True,>f.st......
hvd.32044092754100,32044092754100.mets.xml,True,True,>f.st......
hvd.32044092754100,32044092754100.zip,True,True,>f.st......
hvd.32044092796093,32044092796093.mets.xml,True,True,>f.st......
hvd.32044092796093,32044092796093.zip,True,True,>f.st......
hvd.32044092797182,32044092797182.mets.xml,True,True,>f.st......
hvd.32044092797182,32044092797182.zip,True,True,>f.st......
hvd.32044092797190,32044092797190.mets.xml,True,True,>f.st......
hvd.32044092797190,32044092797190.zip,True,True,>f.st......
hvd.32044092797208,32044092797208.mets.xml,True,True,>f.st......
hvd.32044092797208,32044092797208.zip,True,True,>f.st......
hvd.32044092797216,32044092797216.mets.xml,True,True,>f.st......
hvd.32044092797216,32044092797216.zip,True,True,>f.st......
hvd.32044092797232,32044092797232.mets.xml,True,True,>f.st......
hvd.32044092797232,32044092797232.zip,True,True,>f.st......
hvd.32044094024825,32044094024825.mets.xml,True,True,>f.st......
hvd.32044094024825,32044094024825.zip,True,True,>f.st......
hvd.32044094195120,32044094195120.mets.xml,True,True,>f.st......
hvd.32044094195120,32044094195120.zip,True,True,>f.st......
hvd.32044096982236,32044096982236.mets.xml,True,True,>f.st......
hvd.32044096982236,32044096982236.zip,True,True,>f.st......
hvd.32044096987805,32044096987805.mets.xml,True,True,>f.st......
hvd.32044096987805,32044096987805.zip,True,True,>f.st......
hvd.32044096988480,32044096988480.mets.xml,True,True,>f.st......
hvd.32044096988480,32044096988480.zip,True,True,>f.st......
hvd.32044096989116,32044096989116.mets.xml,True,True,>f.st......
hvd.32044096989116,32044096989116.zip,True,True,>f.st......
hvd.32044097041420,32044097041420.mets.xml,True,True,>f.st......
hvd.32044097041420,32044097041420.zip,True,True,>f.st......
hvd.32044097041479,32044097041479.mets.xml,True,True,>f.st......
hvd.32044097041479,32044097041479.zip,True,True,>f.st......
hvd.32044097041503,32044097041503.mets.xml,True,True,>f.st......
hvd.32044097041503,32044097041503.zip,True,True,>f.st......
hvd.32044097041511,32044097041511.mets.xml,True,True,>f.st......
hvd.32044097041511,32044097041511.zip,True,True,>f.st......
hvd.32044097041560,32044097041560.mets.xml,True,True,>f.st......
hvd.32044097041560,32044097041560.zip,True,True,>f.st......
hvd.32044097041578,32044097041578.mets.xml,True,True,>f.st......
hvd.32044097041578,32044097041578.zip,True,True,>f.st......
hvd.32044097041644,32044097041644.mets.xml,True,True,>f.st......
